nct_id,group_id,period_index,period_title,flow_title,protocol_label,arm_type,started,completed,noncompleted,attrition,count_valid,reason_sum,reason_reconciles,qc_flags
NCT01368432,FG000,0,Overall Study,Placebo,Placebo,PLACEBO_COMPARATOR,6,6,0,0.0,True,0,True,
NCT01368432,FG001,0,Overall Study,Escitalopram,Escitalopram,EXPERIMENTAL,8,7,1,0.125,True,1,True,
NCT01370733,FG000,0,Overall Study,Active sTMS,Active sTMS,EXPERIMENTAL,103,86,17,0.16504854368932043,True,17,True,
NCT01370733,FG001,0,Overall Study,Sham,Sham,SHAM_COMPARATOR,99,77,22,0.2222222222222222,True,22,True,
NCT01371734,FG000,0,Overall Study,Placebo,,,120,97,23,0.19166666666666665,True,23,True,
NCT01371734,FG001,0,Overall Study,DVS SR Low Dose,,,122,103,19,0.15573770491803274,True,19,True,
NCT01371734,FG002,0,Overall Study,DVS SR High Dose,,,121,104,17,0.14049586776859502,True,17,True,
NCT01372150,FG000,0,Overall Study,Placebo,Placebo,EXPERIMENTAL,112,99,13,0.1160714285714286,True,13,True,
NCT01372150,FG001,0,Overall Study,Fluoxetine,Fluoxetine,OTHER,113,99,14,0.12389380530973448,True,14,True,
NCT01372150,FG002,0,Overall Study,Desvenlafaxine Succinate Sustained Release (DVS SR),,,115,99,16,0.13913043478260867,True,16,True,
NCT01377194,FG000,0,Overall Study,Placebo,,,186,154,32,0.17204301075268813,True,32,True,
NCT01377194,FG001,0,Overall Study,Levomilnacipran ER 40 mg,,,188,145,43,0.22872340425531912,True,43,True,
NCT01377194,FG002,0,Overall Study,Levomilnacipran ER 80 mg,,,188,142,46,0.24468085106382975,True,46,True,
NCT01407575,FG000,0,Overall Study,Buprenorphine,Buprenorphine,EXPERIMENTAL,7,5,2,0.2857142857142857,True,,,
NCT01407575,FG001,0,Overall Study,Placebo,Placebo,PLACEBO_COMPARATOR,6,5,1,0.16666666666666663,True,,,
NCT01421134,FG000,0,Overall Study,Lurasidone,Lurasidone,EXPERIMENTAL,109,102,7,0.06422018348623848,True,7,True,
NCT01421134,FG001,0,Overall Study,Placebo,Placebo,PLACEBO_COMPARATOR,102,87,15,0.1470588235294118,True,15,True,
NCT01422213,FG000,0,Overall Study,Placebo,Placebo,PLACEBO_COMPARATOR,196,163,33,0.16836734693877553,True,33,True,
NCT01422213,FG001,0,Overall Study,Vortioxetine 10 mg,Vortioxetine 10 mg,EXPERIMENTAL,195,173,22,0.11282051282051286,True,22,True,
NCT01422213,FG002,0,Overall Study,Vortioxetine 20 mg,Vortioxetine 20 mg,EXPERIMENTAL,207,178,29,0.14009661835748788,True,29,True,
